"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63"
"Acetate",-1.73642678347698,-0.123807103742599,-0.0906729435981659,0.21242214659002,0.037612839065367,0.156089862941646,0.173633569351636,0.0109296726252599,-0.152411983400664,-0.0233198758406711,0.197680214321341,-0.00480696429624742,0.0700560107494595,-0.181548922101644,-0.129758517650932,0.150497952373233,0.135859287147774,-0.030457508440945,0.033553661445144,0.130257842391021,-0.0233219963531601,0.0258585917391097,0.112150557360102,-0.0669301701450231,0.0561016000887693,-0.0792226222095276,-0.154497182985713,-0.026512968598269,-0.0556693862339313,0.0385439531007924,0.00622065935629575,-0.0288326387427275,0.0172550761352007,0.0707694029771232,-0.0723091975829458,-0.0144744826848767,0.0217987289803501,-0.0406998887500289,0.000894932669707568,0.0183121641772245,0.0383476154961129,0.0295730329427795,-0.0116594528141634,0.0180730322770173,-0.00744299044570764,0.0134302485625946,-0.00573212557172437,-0.0112414294399664,-0.00168583406028492,-0.0059902614610421,0.00295538607164683,0.00102246960204795,-1.70222076014814e-06,-0.0016823972647981,-0.000315403412560537,0.00113158433391103,-0.00118777458153786,-0.000602308805713197,-0.000552965511460016,-0.000340041028275562,0.000230094450153252,-0.000115092640425189,-7.63278329429795e-17
"Acetone",-2.16748701829371,-0.0745244878851351,0.146444028411554,0.226476715493055,0.0353239948315049,0.132891310793705,0.0248540122083408,-0.0242235008342811,0.0707614132231769,-0.0108777575894551,-0.0207265614978094,-0.0252211963473229,-0.0428143007380762,-0.024406781227894,-0.0329719356561151,-0.0104545235653231,-0.0228959300294168,-0.0420692657420327,-0.00256658290542958,0.013279657726621,-0.0118942960575426,-0.0151587291427695,-0.00442212041101659,-0.0207906612977322,-0.0421251502594869,0.0242469578507813,-0.000676082386017084,-0.00665695567010265,0.0334549079874164,0.0124675941731305,-0.01117454868271,0.0133324085095775,-0.000969428138456498,0.00756214330490887,0.0333533799700992,0.0208255956701349,-0.00276456566970983,-0.00146664140809656,0.00773739770409778,-0.00615520751119483,-0.00627887839296338,-0.00590818202530433,0.00978603310783231,0.00249094932136466,-0.00709204697969603,-0.00145936159150083,0.0170972402133283,-0.00555108989163756,-0.0237069588529204,-0.00296463710057899,-0.0119236009245042,0.00672900380413692,-0.00495803670663394,0.000452675360279813,0.00407870749114465,0.00638990162051196,-0.00545689390200313,0.00204050494977582,-0.000704133631874729,-0.00342656189076094,0.000393813165230406,-0.000746053623936364,6.93889390390723e-17
"Adipate",-2.12268892480602,-0.0545730282710528,0.110269642635676,0.212152341125135,0.0186669940040535,0.141832316985724,0.0367688747411377,0.00499635765155565,0.125676646621464,-0.0269657054166972,-0.0152219865065549,0.0207834815083325,-0.00379259019612799,-0.0451739930847434,0.0235370482061704,-0.0294842388371208,-0.0382937441283979,-0.0337993970220824,-0.0242084527879416,0.00222539665984094,0.0104799749615563,-0.0277376752640944,-0.00308208144876335,0.0174728510318023,-0.0135719428586418,-0.0107510100150428,-0.00550206665021194,-0.00973440597657668,0.0138705093680484,-0.0427343794221109,-0.0043948618980831,-0.00666635789336245,0.0039290683991133,-0.0357573747235998,0.00240329234599294,0.0112658789850151,0.0341909603471866,-0.0338090196556029,0.0388422802676806,0.042409560101999,0.0529225448831366,-0.028672782434087,0.00474460054886163,-0.00864474307013685,0.0483387567859601,-0.00573036146060404,0.022382217393194,0.00235805340582528,-0.0169583871052136,0.00460755837190026,0.000718603319756216,-0.00723256474694817,-0.00183924636906031,0.00370737067474792,-0.00552581676326818,-0.000459890399879814,0.00122862636268019,-0.000628069382712773,-0.000214376710429023,0.000352251681144767,-0.000207252204008752,6.26609491283271e-05,-1.38777878078145e-16
"Alanine",-0.523632538129713,-0.254861217214737,-0.250054879719502,-0.227153513831772,-0.198854234479093,-0.0367683924015112,0.382342860894481,-0.057552932384293,-0.393282942970399,0.0957043483670065,-0.24457899605463,0.258307023606654,0.196529844208894,0.20803909928757,0.083396486375474,0.0306485480879093,0.14819682194844,0.0417249994266647,-0.0524072431611481,-0.226471681512445,0.0592865630303269,0.119956404825434,-0.0881233964083868,0.0436368787511306,0.192590224249373,-0.0836072584548483,-0.100847478457673,0.0306249587681347,0.125482996863112,-0.0658147690273593,-0.00352742172914071,0.0701434398456826,0.0361380514005262,0.0269491833022638,0.0200795784564001,-0.00609135255690361,-0.00821424848613604,-0.00525442452552531,-0.0106779230953946,-0.0209967176458762,0.0154789530484534,0.0150758891572352,0.00420295489455678,-0.008291812479533,-0.000729270473835138,-0.00182027110095852,0.0139581752740424,0.00452989061377313,0.00150632730549336,-0.000339304045507693,0.00554277938742939,0.0021075599855587,0.00105484686396393,-0.000125841584536962,-0.000527419244499906,0.000126461705084305,-0.000516953034983607,-0.000308739103376251,-0.00022536696720904,-0.000301490581865928,8.40560655366099e-06,-3.37447751498181e-05,2.08166817117217e-16
"Asparagine",-1.83304734503697,-0.122418269942123,0.162594842179308,0.173032556066617,-0.0190931785942267,0.0720472472900044,0.0590657690081542,0.0143395775137948,0.0966429422944978,-0.0326411275483965,-0.0503840666473186,0.0510904094111548,0.0135109668697916,0.0317297478749883,-0.0312971544326456,-0.0298575048836759,0.013193133051062,-0.00136674962968526,-0.0274591911651719,0.00882652207748276,0.0108250110691965,-0.00270686145490794,-0.0118714012852389,-0.0128956849232717,0.0224912664183214,0.0219470182025094,-0.0086871695008784,-0.00971212478015863,0.0147003470638233,0.0105444996395677,0.00748094062778447,0.0417728250336616,-0.0214517418361088,0.0244246521176795,0.00452159405948967,0.0418527277063412,0.0210278391303674,-0.0504796176051122,-0.0377869169358786,0.0374525306993004,-0.0375025432621521,0.00573921403863353,0.0283904398985109,0.0112877139525936,-0.032688357655358,0.0136791486598107,0.00616594143955804,0.000814306738691588,-0.015573907174048,0.0201080386731316,-0.00590818662499202,-0.0049139473849196,-0.00217710804221133,0.00638271309577976,0.00193257373464764,-0.00276075887547297,0.00301717772167525,-0.000297009182058872,-0.00022612107454914,0.00133081843902622,-0.000125597485488481,5.34592102973477e-05,-1.04083408558608e-16
"Betaine",-1.6256368339807,-0.140705823139225,0.0396093410833298,0.0229541761047366,-0.0258477146752325,0.181837291441786,0.0334595389585504,-0.00450187875020952,-0.0989339601981809,-0.00757557699002261,-0.188557636195874,-0.0613575712579309,0.0947590221014633,0.109013787318973,-0.101688663889958,0.0617668682106278,0.00760007466845708,-0.0864968152478551,-0.0460648330612767,-0.0263746299460088,0.00988043100271776,0.0218759760833565,0.0954303002117163,0.0234682261668278,0.11044044867491,0.0844658769975296,0.0476738787367232,-0.0252587022143253,-0.109659967570586,0.0196224395362946,-0.0983038449060086,0.144968769881974,-0.0630228869260379,0.0134116512124197,-0.0361495973694083,-0.00155301642239419,-0.0404703842082401,-0.0190074871311337,0.0113839154846735,-0.0118133754585067,-0.0145184862632305,-0.0364756930166593,-0.0122248389335428,0.0230621061661225,0.0131013798070606,0.00406032432941177,-0.00141618683487266,0.00765238763614964,0.000641753665797441,-0.00139798549697603,0.00449124571388204,0.00279894251112982,-0.00104670262179872,-0.000166860737517253,-0.00242465938522627,0.000662255482921537,-0.00170285966939146,0.00111180681075003,5.25219188207901e-05,0.000945956109224788,0.000170522419216029,-2.92938922686684e-05,-1.80411241501588e-16
"Carnitine",-1.84804666915837,-0.158692766982245,0.176256980570239,0.12521501087306,-0.0581922489699598,0.0170444364454055,0.0431501904920074,-0.114562931647486,0.0475301381400815,0.0471188261845311,-0.0559808428942127,-0.0216691536154707,0.0700743930892932,0.0615699733938301,-0.0473356879238027,0.0419742310832855,0.140478790695656,0.0960424607563863,0.0196837565989249,0.108441937469909,0.0480675806063756,0.063601672528626,-0.0305769397723952,-0.069218827182414,0.088429613154653,0.0289429539345367,0.0862871870579092,-0.0090753052252702,0.033686899523027,0.0443028251831691,0.144250301439652,0.0665205180257125,-0.0724087144964593,-0.107093529951476,-0.00724439300611491,-0.0582904388716996,-0.0071255867656001,0.0044237808707506,0.015586804278748,0.0111184291902775,0.0167126188128917,0.00947504133332886,-0.00451090425755229,-0.00534574339097518,-0.00657735575979439,0.0141047603066535,-0.0135009270012899,-0.00609165018038403,-0.0018080064767169,0.00774947329935941,0.00125418840553078,-0.000823547470380576,0.0016227485967246,0.00187300457640465,0.000560879213875041,0.000146812191594362,-0.000707302040944401,-0.000410171194204292,-0.000744337414434519,-0.00145886691078776,-0.000221899003920022,3.88228565863999e-05,-1.11022302462516e-16
"Citrate",12.4299843208821,-2.0044536247897,3.56536497678257,-7.11982163521189,0.928565029394807,0.703077032184809,-0.341085018458197,0.0868200113362257,-0.142226638919458,-0.101211807997104,0.129292287919504,0.0348162852813228,0.0105406327262278,-0.00465714259920422,-0.00930623629209133,-0.00861956636582144,-0.00412460078722773,-0.0225759396107795,-0.0051706494072486,0.0208398712951721,0.0118366057298753,-0.01002125616584,-0.0166487009422659,0.00981849053892601,-0.00202989952111381,0.00169342743344394,0.00482185643333261,0.00160305127662193,0.0115598337653108,-0.000391657971683078,0.00256396682302637,0.00088993567411395,-0.0022470210110337,0.00141159527705184,-0.00220208374306377,0.00120034100360973,0.000207325091744245,-0.00118597163997623,-0.000542322433212603,1.35974238062511e-05,0.000652158345181703,0.000114225231558521,0.000847958743863047,8.69634337789804e-05,5.86744464689537e-05,-0.000578639489306712,2.94531708799756e-05,-3.24540857722655e-05,0.000360601016297145,-0.000268244539398249,0.000392501283503115,0.000233516764971825,-3.72883366930483e-05,4.24356475293569e-05,0.000130302278878704,-1.20248186353811e-05,-8.80416726525834e-06,-1.65853333443239e-05,3.60879178459839e-06,-4.99542662023879e-05,-1.18164455406161e-05,1.21988572621412e-05,-2.77555756156289e-17
"Creatine",-1.18114971603293,0.785013440298322,0.135489798720231,0.203953585935322,0.192789389221093,-0.0605408753081462,-1.32245821009014,-1.78401379599882,-0.157960034189723,1.25625077844135,-0.11304277868249,-0.0991689008676407,0.0724243035717981,0.0340370470323902,0.0138135541976994,0.0237098098057298,-0.00350386015842292,-0.0164289675644867,-0.0268278537088279,-0.000940740439751373,0.0433214558951466,-0.0148006937040974,0.00251699635060776,0.00900473647870051,-0.0123018692329806,-0.0146657797391535,-0.0186057896631188,-0.027900226154068,-0.00954788925601425,0.00311944785011153,0.000538730952989598,-0.0167432062051962,0.00159349279062437,0.00591637843818807,0.000599264273389528,0.00347017658451115,0.00195014208693527,0.000774558317965583,-0.00511540302242332,0.000698143422030537,0.000779731576698785,-0.0018299681969734,-0.000300278960877658,-0.00196235156680503,-0.000752148072648779,-0.0007589770125749,0.00121433261117358,-0.000294271002626516,0.000877266379649039,-0.00041139681618392,-0.000681970919689693,-0.000248130413893093,6.43567935243797e-07,-0.000165549653247658,0.000137413535279334,-0.000153552825074857,5.48758952340217e-05,-0.000118772543771448,9.68722174151532e-06,0.000134620703361205,-2.52388558103014e-05,-8.56886057592349e-07,6.93889390390723e-17
"Creatinine",54.6527823312714,-2.59713151393039,-0.477841647567822,2.2735314728046,-0.178184056257116,0.268504087098133,0.122411663985922,-0.0845310434107898,0.105423377421165,0.0473972142966904,-0.0438552509071234,-0.0106173203271629,-0.000435638477409017,-0.013820920419603,-0.00832693789318861,-0.00166138141855043,-0.00901656193150145,-0.00434579849229549,-0.0160497866631145,0.00834301064278009,-0.0128626978788278,0.000864626292054638,-9.591342165928e-05,-0.00745310586697218,0.00063678298620895,-0.00108027077386952,-4.85451647641577e-05,-0.00804820591552124,0.00112814940641626,0.00364913072227013,-0.00198934692708655,0.00289425097805784,0.000143713608665719,-0.00106440866747612,0.00190413329877437,-8.09451095391545e-05,0.00284982756055258,0.000727394034616524,0.000992940834810038,-0.000439412827141883,0.00069593263659351,-9.50328106547049e-06,0.000313523463747176,-5.92036163819532e-05,-0.000126319642199113,0.000515981360810103,0.000147938890187493,-0.000162094274912095,-0.000169252995370336,4.57670899363105e-05,-0.00017345846198305,-2.60182994271663e-06,8.83806201615323e-06,-3.90301522626979e-05,1.76281986387083e-05,9.7852567861878e-06,9.54346948289775e-06,9.24450278938505e-06,2.11395595604014e-05,7.9509714453474e-06,-6.19965909143261e-06,3.35344653373815e-06,4.44089209850063e-16
